公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,0.39,10889658,-11.33,12330504,10933035,-6.85,122783014,114365085
1102,亞泥,-,5.01,7923604,2.53,8115203,8320877,-12.42,89341528,78241985
1103,嘉泥,-,-3.8,208929,27.3,157879,200989,9.19,1883793,2057081
1104,環泥,-,13.64,488513,21.3,457657,555150,8.39,5005731,5426099
1108,幸福,-,-3.48,402129,2.71,377849,388124,21.39,3731696,4530250
1109,信大,-,18.56,719102,23.28,691591,852626,-3.15,7821396,7574940
1110,東泥,-,7.27,149741,6.52,150784,160628,0.38,1584940,1590987
1201,味全,-,-7.31,1588873,-1.78,1499513,1472723,-7.76,20229153,18657684
1203,味王,-,7.87,481337,-10.39,579498,519264,-6.17,6423637,6027250
1210,大成,-,10.53,7431123,17.82,6971663,8214226,3.13,78080258,80528084
1213,大飲,-,22.8,25440,8.95,28674,31241,-5.93,435472,409605
1215,卜蜂,-,11.14,1851586,12.21,1833883,2057868,4.79,21173634,22189635
1216,統一,-,-4.73,35858206,3.46,33014880,34159430,-0.08,447657706,447293289
1217,愛之味,-,-1.54,284591,-4.15,292321,280185,3.29,4468894,4616254
1218,泰山,-,3.62,670202,6.33,653138,694505,4.27,8123563,8470574
1219,福壽,-,9.12,1086305,3.57,1144475,1185413,0.66,12248463,12330108
1220,台榮,-,18.12,218974,-14.84,303764,258665,-6.84,2979164,2775133
1225,福懋油,-,11.86,900073,10.37,912234,1006866,-4.06,10646506,10213493
1227,佳格,-,8.87,3556835,-6.65,4148791,3872526,10.23,31266232,34466244
1229,聯華,-,34.92,701599,2.84,920437,946645,15.64,8262610,9555022
1231,聯華食,-,31.18,702239,1.04,911649,921214,2.65,8588903,8817321
1232,大統益,-,15.74,1594098,14.18,1615860,1845049,1.69,17150108,17440979
1233,天仁,-,-8.1,186443,-12.83,196555,171334,-15.06,2265630,1924299
1234,黑松,-,14.62,737796,-7.96,918928,845690,0.64,9147009,9206290
1235,興泰,較去年差異為本月處分724萬透過損益按公允價值衡量之金融資產,5.61,8146,447.61,1571,8603,27.28,61642,78459
1236,宏亞,-,61.27,143333,-15.39,273232,231166,-12.16,1863993,1637270
1702,南僑,-,21.79,1531731,1.58,1836474,1865641,-4.08,18343979,17593857
1737,臺鹽,-,50.53,252684,41.53,268745,380378,8.97,2907473,3168411
1301,台塑,-,8.22,18212643,25.95,15648643,19710124,-10.6,207848572,185813405
1303,南亞,-,7.66,26310187,18.49,23906984,28327943,-4.52,286303059,273349447
1304,台聚,-,13.37,5133507,27.39,4568559,5820253,-9.8,55663249,50204588
1305,華夏,-,10.22,1525029,36.29,1233303,1680981,-9.16,15118589,13732839
1307,三芳,-,-5.12,731314,-9.62,767780,693860,-17.81,10271410,8441756
1308,亞聚,-,18.27,576968,15.05,593109,682421,-16.0,6790970,5703774
1309,台達化,-,10.23,1622907,27.99,1397706,1789006,-12.29,17671185,15498603
1310,台苯,-,-10.68,975087,-4.9,915803,870907,-33.61,12219689,8112446
1312,國喬,-,9.71,1685135,12.38,1645058,1848773,-19.11,20489355,16572244
1313,聯成,-,6.91,5696942,6.63,5711986,6091072,-17.29,62715952,51870874
1314,中石化,-,35.21,1390823,6.8,1760840,1880643,-40.63,29623258,17584576
1315,達新,-,18.88,179377,11.63,191026,213256,-8.46,2445575,2238588
1321,大洋,-,1.72,471422,8.92,440232,479536,6.32,4693085,4990071
1323,永裕,-,-3.88,313683,-7.43,325715,301482,-6.5,3642187,3405180
1324,地球,-,33.49,76948,11.52,92103,102720,-7.09,1136341,1055758
1325,恆大,受新冠肺炎影響致營收增加,0.52,293910,348.35,65899,295463,424.97,772775,4056858
1326,台化,-,9.66,23935729,7.62,24389832,26248571,-21.91,324366935,253294668
4306,炎洲,-,6.25,1330385,13.43,1246172,1413578,-13.2,16125185,13995062
1402,遠東新,-,9.27,18791926,1.51,20227978,20535299,-17.22,249921685,206860662
1409,新纖,"本月出售土地交易總金額新台幣1,200,088,888元",63.34,2551167,56.02,2670865,4167286,-15.23,38119524,32310219
1410,南染,-,13.62,37087,39.96,30107,42139,4.55,398114,416256
1413,宏洲,-,-11.13,183846,-11.07,183726,163371,-46.87,2947365,1565767
1414,東和,-,47.31,59309,27.26,68651,87371,-11.14,790578,702472
1417,嘉裕,-,-15.85,107100,-37.26,143657,90121,-24.7,1405652,1058450
1418,東華,因客戶受新冠狀肺炎疫情之影響調降開工率，造成亞克力纖維市場需求停滯。,4.17,11414,127.01,5238,11891,-52.66,211540,100142
1419,新紡,-,1.69,229060,19.65,194686,232948,3.22,2082287,2149393
1423,利華,受到今年所爆發之全球嚴重肺炎疫情影響，也連帶影響到民眾消費意願及下游紗廠訂單需求，因此仍較去年同期出現較大幅度萎縮。,0.71,12038,2.95,11776,12124,-55.45,455091,202723
1434,福懋,-,12.18,2253131,-8.19,2753330,2527585,-21.45,36647668,28783492
1439,中和,-,559.3,2288,33.92,11264,15085,-34.61,173008,113119
1440,南紡,-,9.07,1633489,-4.07,1857387,1781769,-23.18,22949628,17628221
1441,大東,-,-16.83,131969,-12.58,125551,109749,4.19,1466872,1528414
1444,力麗,-,3.12,786572,-16.39,970164,811117,-30.26,12008118,8373609
1445,大宇,-,45.19,66994,-16.99,117192,97272,-33.05,1370531,917470
1446,宏和,因本月營建銷貨收入減少所致,-52.71,63683,-66.69,90414,30113,-11.61,555727,491202
1447,力鵬,-,-17.22,1736512,22.35,1174694,1437353,-6.99,14579347,13559459
1449,佳和,-,-15.93,193946,-22.31,209856,163037,-22.71,2496050,1929151
1451,年興,-,16.81,595405,4.35,666468,695510,-18.06,8567512,7019373
1452,宏益,-,28.65,142400,14.21,160406,183208,-33.69,1918138,1271905
1454,台富,-,10.66,118054,-5.91,138854,130643,-36.73,1904529,1204928
1455,集盛,-,6.14,787713,3.68,806421,836143,-35.17,11841377,7675607
1457,宜進,-,9.4,286100,-11.67,354395,313004,-41.93,4869279,2827183
1459,聯發,-,22.3,194149,1.51,233912,237455,-42.86,3122224,1783734
1460,宏遠,-,-11.23,849170,-7.98,819118,753725,-17.27,8863627,7332628
1463,強盛,-,-6.77,34679,-25.37,43323,32329,-20.78,557472,441609
1464,得力,-,39.75,720066,-6.77,1079557,1006364,-21.68,10909212,8543701
1465,偉全,本年累計營收較去年減少，主要係因去年含已處分子公司之營收。,3.75,42119,-11.35,49301,43701,-52.24,890537,425282
1466,聚隆,-,22.42,257415,16.41,270698,315137,-19.5,3292875,2650601
1467,南緯,-,-12.76,815089,36.73,519993,711037,23.78,6945892,8597678
1468,昶和,-,41.27,71097,15.78,86749,100442,-4.75,1009745,961760
1470,大統新創,-,9.88,59081,-2.55,66628,64923,-22.9,818166,630757
1472,三洋紡,-,-25.95,29569,-35.47,33933,21894,-27.42,453215,328903
1473,台南,-,21.27,410395,-27.59,687386,497702,-22.09,7665397,5972078
1474,弘裕,-,-5.63,294124,-9.35,306183,277543,-17.2,3452413,2858477
1475,業旺,主要開始銷售染劑產品,18.62,38238,1044.58,3963,45360,197.43,56522,168114
1476,儒鴻,-,48.43,2494282,35.61,2730115,3702424,0.17,28125136,28175401
1477,聚陽,-,22.43,1761346,1.03,2134444,2156588,-7.85,27047502,24924170
4414,如興,-,-3.89,1198668,-40.3,1929909,1152030,1.32,16854253,17077832
4426,利勤,因國外新冠肺炎疫情嚴重影響，導致出貨減少,14.51,90756,-24.0,136757,103931,-47.09,2300674,1217165
4438,廣越,-,13.89,449208,-38.03,825730,511643,-25.05,16257516,12183794
1503,士電,-,53.85,1991320,29.91,2358387,3063805,-0.52,25820352,25684496
1504,東元,-,23.93,3927983,11.39,4370102,4868158,-5.27,48101134,45563658
1506,正道,-,-15.81,80460,2.72,65938,67736,-27.14,1171788,853668
1507,永大,-,-1.97,1513203,10.41,1343396,1483377,11.42,13739194,15308552
1513,中興電,本月(12月)合併營收較去年同期增加，主要係增加都更房地銷售所致,152.01,1268416,104.55,1562768,3196653,24.34,12377087,15390684
1514,亞力,-,18.84,477166,-0.53,570145,567071,5.51,4838215,5104861
1515,力山,客戶銷售狀況好增加採購量,12.92,1480505,196.79,563308,1671850,43.94,7901874,11374207
1517,利奇,-,18.37,347951,39.04,296233,411896,12.85,3001588,3387361
1519,華城,-,106.85,650893,-16.16,1605967,1346437,18.04,7176598,8471592
1526,日馳,-,8.81,121040,14.98,114536,131704,9.99,1133401,1246649
1527,鑽全,-,41.72,284799,30.86,308438,403633,3.61,3464083,3589313
