公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,2.18,9961312,-2.96,10489337,10178622,-6.83,67212820,62618332
1102,亞泥,-,0.69,6752208,-12.98,7813300,6798878,-21.28,51610988,40624521
1103,嘉泥,-,3.81,166768,8.85,159044,173129,11.04,1049488,1165448
1104,環泥,-,5.17,453562,19.78,398238,477040,10.39,2779704,3068671
1108,幸福,-,6.49,360616,22.61,313198,384035,27.43,2048651,2610731
1109,信大,-,7.35,611254,9.75,597879,656183,-6.18,4170048,3912131
1110,東泥,-,-4.39,130369,8.6,114772,124643,-0.13,896369,895134
1201,味全,-,8.64,1584018,-6.98,1850126,1720915,-11.3,11624689,10310618
1203,味王,-,-5.53,519138,-11.28,552813,490401,-2.44,3630432,3541505
1210,大成,-,-0.81,6450520,-1.44,6491269,6397684,-0.87,43729184,43344787
1213,大飲,-,53.58,35095,-16.51,64562,53900,-24.14,290566,220397
1215,卜蜂,-,6.33,1772694,8.01,1745142,1884932,5.22,11930910,12554025
1216,統一,-,4.9,38616245,0.6,40267551,40509558,-1.25,262536471,259246103
1217,愛之味,-,3.51,415560,-10.92,482920,430161,1.79,2535140,2580634
1218,泰山,-,13.3,734201,-3.45,861667,831903,3.83,4581091,4756597
1219,福壽,-,-0.7,987280,-5.63,1038836,980279,-2.16,7050465,6897543
1220,台榮,-,19.02,222507,-4.52,277390,264847,-4.78,1583877,1508035
1225,福懋油,-,6.9,792623,-11.96,962604,847382,-4.06,6074065,5827264
1227,佳格,-,3.44,2392058,12.13,2206623,2474374,9.5,15614243,17098443
1229,聯華,本公司年度營收成長主因108年自4月起納入子公司神通電腦及神通資訊營收所致。,-43.14,1275443,4.16,696166,725137,38.86,3947671,5482033
1231,聯華食,-,15.06,684343,-0.51,791473,787417,-1.0,4940699,4891161
1232,大統益,-,2.83,1424986,2.91,1423850,1465369,-1.7,9654741,9490609
1233,天仁,-,15.9,141988,-9.11,181089,164578,-17.2,1290363,1068412
1234,黑松,-,21.58,770065,3.04,908599,936282,-0.99,5059826,5009268
1235,興泰,"合併投資公司獲配現金股利較去年同期增加3,283仟元",118.76,3033,75.94,3771,6635,3.19,17142,17689
1236,宏亞,-,52.0,80724,-15.68,145523,122704,-16.17,965977,809768
1702,南僑,-,-1.89,1431284,-4.28,1466893,1404101,-10.25,10349066,9287907
1737,臺鹽,-,-10.75,277394,-4.59,259498,247573,6.55,1654467,1762880
1301,台塑,-,6.35,14776562,-10.24,17511155,15716282,-20.75,127092518,100719565
1303,南亞,-,4.6,20794995,-11.44,24563010,21752364,-11.59,167334881,147934453
1304,台聚,-,3.73,3952131,-14.03,4769245,4099746,-19.68,32764091,26314657
1305,華夏,-,12.65,948423,-19.08,1320523,1068490,-21.97,8902839,6946669
1307,三芳,-,7.85,489749,-40.14,882453,528216,-20.72,5873803,4656728
1308,亞聚,-,-4.29,451529,-22.05,554435,432139,-21.4,3949625,3104268
1309,台達化,-,9.99,1276711,-3.92,1461710,1404282,-24.79,10543531,7928838
1310,台苯,-,-0.35,684951,-40.01,1137754,682498,-42.31,7386995,4261045
1312,國喬,-,-0.22,1332033,-27.88,1842861,1328986,-31.07,12390138,8539555
1313,聯成,-,2.21,4199654,-23.08,5581587,4292844,-31.2,36837329,25342282
1314,中石化,受疫情影響致終端需求萎縮,-4.22,1217571,-53.77,2522461,1166126,-44.34,18957718,10551272
1315,達新,-,27.49,188984,-7.63,260865,240945,-9.66,1379096,1245780
1321,大洋,-,10.64,406756,7.89,417127,450073,-1.08,2657279,2628451
1323,永裕,-,-6.42,298326,-9.41,308168,279151,-5.64,2057568,1941457
1324,地球,-,2.67,86367,-1.94,90435,88678,-7.81,674313,621624
1325,恆大,受新冠肺炎影響致營收增加,-17.5,484807,534.6,63019,399921,328.37,482850,2068409
